,Fragment_selected,Monoisotopic_mass_fragment,Fragment_collision,Monoisotopic_mass_collision
S[UNIMOD:1355]->P[UNIMOD:360],S[UNIMOD:1355],67.00581500000001,P[UNIMOD:360],67.042195
P[UNIMOD:360]->S[UNIMOD:1355],P[UNIMOD:360],67.042195,S[UNIMOD:1355],67.00581500000001
S[UNIMOD:1419]->S[UNIMOD:23],S[UNIMOD:1419],69.008446,S[UNIMOD:23],69.021465
S[UNIMOD:1419]->Y[UNIMOD:400],S[UNIMOD:1419],69.008446,Y[UNIMOD:400],69.021465
S[UNIMOD:1419]->C[UNIMOD:368],S[UNIMOD:1419],69.008446,C[UNIMOD:368],69.021469
S[UNIMOD:1419]->P[UNIMOD:369],S[UNIMOD:1419],69.008446,P[UNIMOD:369],69.05784500000001
S[UNIMOD:23]->Y[UNIMOD:400],S[UNIMOD:23],69.021465,Y[UNIMOD:400],69.021465
S[UNIMOD:23]->C[UNIMOD:368],S[UNIMOD:23],69.021465,C[UNIMOD:368],69.021469
S[UNIMOD:23]->P[UNIMOD:369],S[UNIMOD:23],69.021465,P[UNIMOD:369],69.05784500000001
S[UNIMOD:23]->S[UNIMOD:1419],S[UNIMOD:23],69.021465,S[UNIMOD:1419],69.008446
Y[UNIMOD:400]->C[UNIMOD:368],Y[UNIMOD:400],69.021465,C[UNIMOD:368],69.021469
Y[UNIMOD:400]->P[UNIMOD:369],Y[UNIMOD:400],69.021465,P[UNIMOD:369],69.05784500000001
Y[UNIMOD:400]->S[UNIMOD:23],Y[UNIMOD:400],69.021465,S[UNIMOD:23],69.021465
Y[UNIMOD:400]->S[UNIMOD:1419],Y[UNIMOD:400],69.021465,S[UNIMOD:1419],69.008446
C[UNIMOD:368]->P[UNIMOD:369],C[UNIMOD:368],69.021469,P[UNIMOD:369],69.05784500000001
C[UNIMOD:368]->Y[UNIMOD:400],C[UNIMOD:368],69.021469,Y[UNIMOD:400],69.021465
C[UNIMOD:368]->S[UNIMOD:23],C[UNIMOD:368],69.021469,S[UNIMOD:23],69.021465
C[UNIMOD:368]->S[UNIMOD:1419],C[UNIMOD:368],69.021469,S[UNIMOD:1419],69.008446
P[UNIMOD:369]->C[UNIMOD:368],P[UNIMOD:369],69.05784500000001,C[UNIMOD:368],69.021469
P[UNIMOD:369]->Y[UNIMOD:400],P[UNIMOD:369],69.05784500000001,Y[UNIMOD:400],69.021465
P[UNIMOD:369]->S[UNIMOD:23],P[UNIMOD:369],69.05784500000001,S[UNIMOD:23],69.021465
P[UNIMOD:369]->S[UNIMOD:1419],P[UNIMOD:369],69.05784500000001,S[UNIMOD:1419],69.008446
S[UNIMOD:385]->C[UNIMOD:382],S[UNIMOD:385],70.005481,C[UNIMOD:382],70.00548500000001
C[UNIMOD:382]->S[UNIMOD:385],C[UNIMOD:382],70.00548500000001,S[UNIMOD:385],70.005481
S[UNIMOD:403]->A[UNIMOD:994],S[UNIMOD:403],72.02113100000001,A[UNIMOD:994],72.034145
A[UNIMOD:994]->S[UNIMOD:403],A[UNIMOD:994],72.034145,S[UNIMOD:403],72.02113100000001
G[UNIMOD:420]->G[UNIMOD:35],G[UNIMOD:420],72.998616,G[UNIMOD:35],73.016375
G[UNIMOD:35]->G[UNIMOD:420],G[UNIMOD:35],73.016375,G[UNIMOD:420],72.998616
A[UNIMOD:1297]->A[UNIMOD:481],A[UNIMOD:1297],75.044209,A[UNIMOD:481],75.062217
A[UNIMOD:481]->A[UNIMOD:1297],A[UNIMOD:481],75.062217,A[UNIMOD:1297],75.044209
C[UNIMOD:1355]->T[UNIMOD:1419],C[UNIMOD:1355],82.98297500000001,T[UNIMOD:1419],83.024096
T[UNIMOD:1419]->T[UNIMOD:23],T[UNIMOD:1419],83.024096,T[UNIMOD:23],83.037115
T[UNIMOD:1419]->M[UNIMOD:11],T[UNIMOD:1419],83.024096,M[UNIMOD:11],83.037119
T[UNIMOD:1419]->C[UNIMOD:1355],T[UNIMOD:1419],83.024096,C[UNIMOD:1355],82.98297500000001
T[UNIMOD:23]->M[UNIMOD:11],T[UNIMOD:23],83.037115,M[UNIMOD:11],83.037119
T[UNIMOD:23]->T[UNIMOD:1419],T[UNIMOD:23],83.037115,T[UNIMOD:1419],83.024096
M[UNIMOD:11]->T[UNIMOD:23],M[UNIMOD:11],83.037119,T[UNIMOD:23],83.037115
M[UNIMOD:11]->T[UNIMOD:1419],M[UNIMOD:11],83.037119,T[UNIMOD:1419],83.024096
A[UNIMOD:1918]->D[UNIMOD:1915],A[UNIMOD:1918],85.016375,D[UNIMOD:1915],85.016375
A[UNIMOD:1918]->S[UNIMOD:401],A[UNIMOD:1918],85.016375,S[UNIMOD:401],85.01638000000001
